1366719878 function calls (1324972940 primitive calls) in 1086.654 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    95748    0.058    0.000    0.078    0.000 backend_bases.py:976(get_hatch_path)
    95748    0.021    0.000    0.021    0.000 backend_bases.py:983(get_hatch_color)
    95748    0.017    0.000    0.017    0.000 backend_bases.py:991(get_hatch_linewidth)
    95748    0.015    0.000    0.015    0.000 backend_bases.py:995(get_sketch_params)
    95748    0.112    0.000    0.157    0.000 artist.py:828(_set_gc_clip)
    95063    0.051    0.000    0.051    0.000 __init__.py:972(<listcomp>)
    95063    0.183    0.000    0.346    0.000 __init__.py:968(get_siblings)
    94921    0.150    0.000    0.236    0.000 axes3d.py:790(get_zlim3d)
    94620    0.145    0.000    1.598    0.000 lines.py:648(set_data)
    94620    0.093    0.000    0.554    0.000 lines.py:1294(set_ydata)
    94053    0.117    0.000    0.158    0.000 __init__.py:205(process)
    93963    0.082    0.000    0.343    0.000 <__array_function__ internals>:2(copyto)
    93963    0.016    0.000    0.016    0.000 multiarray.py:1043(copyto)
    93686    0.012    0.000    0.012    0.000 {method 'rstrip' of 'str' objects}
    93669    0.062    0.000    0.086    0.000 __init__.py:1916(_str_lower_equal)
    92358    0.101    0.000    0.343    0.000 <__array_function__ internals>:2(empty_like)
    92358    0.015    0.000    0.015    0.000 multiarray.py:77(empty_like)
    92345    0.101    0.000    0.271    0.000 axis.py:807(limit_range_for_scale)
    92345    0.084    0.000    0.154    0.000 axis.py:2153(get_minpos)
    92345    0.016    0.000    0.016    0.000 scale.py:60(limit_range_for_scale)
    92345    0.117    0.000    1.108    0.000 _base.py:2097(_process_unit_info)
    92345    0.047    0.000    0.047    0.000 transforms.py:938(minposx)
    92345    0.215    0.000    1.555    0.000 axes3d.py:162(_process_unit_info)
    92160    0.138    0.000    0.893    0.000 markers.py:245(_recache)
    91440    0.139    0.000    0.920    0.000 ticker.py:2097(view_limits)
    90778    0.028    0.000    0.036    0.000 transforms.py:2632(get_matrix)
    90518    0.074    0.000    0.215    0.000 artist.py:360(set_transform)
89777/89473    0.088    0.000    0.280    0.000 {built-in method builtins.any}
    89451    2.302    0.000    5.069    0.000 proj3d.py:148(_proj_transform_vec)
    88526    0.042    0.000    0.042    0.000 {method 'count' of 'str' objects}
    88083    0.015    0.000    0.015    0.000 backend_bases.py:154(open_group)
    88083    0.013    0.000    0.013    0.000 backend_bases.py:161(close_group)
    86905    0.120    0.000    0.909    0.000 transforms.py:2470(composite_transform_factory)
    85968    0.011    0.000    0.011    0.000 transforms.py:1273(depth)
    85782    0.019    0.000    0.019    0.000 backend_bases.py:957(set_snap)
    85782    0.019    0.000    0.019    0.000 artist.py:608(get_sketch_params)
    84104    0.070    0.000    0.913    0.000 <__array_function__ internals>:2(ones_like)
